     Time[ps]     Time[ns]  CellLengthX  CellLengthY  CellLengthZ  TotalEnergy         Bond        Angle     Dihedral    Planarity      Coulomb          VdW      SurfVdW      SurfMol      SurfAcc SoluteHBonds SltSlvHBonds    SelHBonds    RecHBonds    SlvHBonds    TotHBonds      HB1Atm1      HB1Atm2         HB1E         HB1D      HB2Atm1      HB2Atm2         HB2E         HB2D      HB3Atm1      HB3Atm2         HB3E         HB3D      HB4Atm1      HB4Atm2         HB4E         HB4D      HB5Atm1      HB5Atm2         HB5E         HB5D      HB6Atm1      HB6Atm2         HB6E         HB6D      HB7Atm1      HB7Atm2         HB7E         HB7D      HB8Atm1      HB8Atm2         HB8E         HB8D      HB9Atm1      HB9Atm2         HB9E         HB9D     HB10Atm1     HB10Atm2        HB10E        HB10D     HB11Atm1     HB11Atm2        HB11E        HB11D     HB12Atm1     HB12Atm2        HB12E        HB12D        Helix        Sheet         Turn         Coil     Helix310      HelixPi  RadGyration       RMSDCa       RMSDBb      RMSDAll  RMSDLigMove  RMSDLigConf
        0.000        0.000       96.404       96.404       96.404 -1563079.189    49364.974    25690.225   129893.533      234.245 -2045286.486   277024.320    49624.827    24402.896    22585.318      472.000      836.000        0.000        2.000        5.000        7.000    NE.R120.A     O13.h0.N       25.000        1.841    OH.Y385.A     O23.h0.N       18.850        1.967            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       46.279        5.989       13.430       32.849        1.452        0.000       23.961        0.402        0.448        0.511        0.799        0.295
      100.000        0.100       96.545       96.545       96.545 -1174794.584   117408.035    69618.336   132212.447     1015.000 -1688913.634   193865.232    51005.877    25748.861    23529.145      450.000      875.000        0.000        4.000        2.000        6.000    OG.S530.A      O7.h0.N       14.075        2.008    NE.R120.A     O13.h0.N       21.100        1.816   NH2.R120.A     O14.h0.N        9.225        1.843    OH.Y355.A     O14.h0.N       19.925        1.736            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       45.372        6.352       14.519       30.672        3.085        0.000       24.430        1.158        1.177        1.358        3.198        1.189
      200.000        0.200       96.540       96.540       96.540 -1167310.573   111091.486    68653.687   132693.295     1086.020 -1669855.429   189020.368    50868.795    25429.674    23547.010      444.000      882.000        0.000        2.000        4.000        6.000    OG.S530.A      O7.h0.N       13.125        1.994    OH.Y355.A     O14.h0.N       24.425        1.649            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       43.194        5.082       15.971       35.753        0.000        0.000       24.332        0.992        1.015        1.258        2.969        1.483
      300.000        0.300       96.543       96.543       96.543 -1164195.822   107991.081    67274.227   132531.751     1078.212 -1662467.943   189396.851    50915.981    25864.630    23578.993      450.000      876.000        0.000        2.000        3.000        5.000    NE.R120.A     O13.h0.N       18.175        1.969    OH.Y355.A     O14.h0.N       25.000        1.543            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       46.461        6.171       13.430       31.579        2.359        0.000       24.449        1.247        1.265        1.501        3.475        1.925
      400.000        0.400       96.513       96.513       96.513 -1163049.717   105580.886    65912.372   132618.813     1116.999 -1658018.712   189739.925    50827.821    25544.281    23325.226      439.000      864.000        0.000        3.000        3.000        6.000    NE.R120.A     O13.h0.N       21.500        1.726    OH.Y355.A     O14.h0.N       25.000        1.593    OG.S530.A     O16.h0.N        6.450        2.306            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       44.283        5.082       15.245       33.938        1.452        0.000       24.398        1.169        1.191        1.442        3.515        1.522
      500.000        0.500       96.568       96.568       96.568 -1162298.139   107035.115    66618.268   132388.073      991.226 -1657989.585   188658.763    51517.921    26453.124    23776.394      421.000      875.000        0.000        3.000        4.000        7.000    NE.R120.A     O13.h0.N       19.150        1.731   NH2.R120.A     O13.h0.N        8.825        1.941    OH.Y355.A     O14.h0.N       25.000        1.720            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       43.557        4.900       18.875       31.942        0.726        0.000       24.511        1.295        1.317        1.568        3.480        1.804
      600.000        0.600       96.541       96.541       96.541 -1161513.464   106327.555    66546.736   132636.450     1117.260 -1656058.832   187917.368    51323.408    26547.237    23710.838      440.000      858.000        0.000        3.000        3.000        6.000    NE.R120.A     O13.h0.N       18.850        2.127   NH2.R120.A     O13.h0.N       17.975        2.018    OH.Y355.A     O14.h0.N       25.000        1.751            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       45.917        5.445       16.334       31.579        0.726        0.000       24.450        1.251        1.277        1.540        4.284        1.592
      700.000        0.700       96.553       96.553       96.553 -1162851.368   106028.319    66252.002   132456.703     1109.910 -1659291.919   190593.618    51228.153    26466.065    23733.624      435.000      899.000        0.000        2.000        4.000        6.000    NE.R120.A     O13.h0.N       19.550        1.937    OH.Y355.A     O14.h0.N       20.325        1.981            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       42.468        5.808       17.060       33.938        0.726        0.000       24.395        1.184        1.207        1.540        3.547        1.687
      800.000        0.800       96.540       96.540       96.540 -1161682.450   104321.891    66600.886   132621.370     1102.118 -1655471.338   189142.623    51114.354    26263.945    23596.708      454.000      878.000        0.000        2.000        3.000        5.000    NE.R120.A     O13.h0.N       20.325        1.836    OH.Y355.A     O14.h0.N       18.175        1.933            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       45.735        4.356       17.423       31.579        0.907        0.000       24.325        1.134        1.160        1.479        3.772        1.562
      900.000        0.900       96.575       96.575       96.575 -1158786.439   106580.341    66054.545   132524.160     1101.378 -1650956.910   185910.046    51473.672    26257.591    23665.479      441.000      860.000        0.000        2.000        4.000        6.000    NE.R120.A     O13.h0.N       17.600        1.940    OH.Y355.A     O14.h0.N       25.000        1.650            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       42.105        5.263       15.245       35.027        2.359        0.000       24.305        1.096        1.128        1.438        3.763        1.592
