rank,id,name,klass,smiles,formula,MW,LogP,HBD,HBA,TPSA,RotB,AromRings,FractionCSP3,MolarRefr,HeavyAtoms,QED,SAscore,SynthEase,Lipinski_violations,Veber_pass,Egan_pass,PAINS_alerts,Brenk_alerts,Sim_celecoxib,pass_prefilter,DrugLikeScore,is_lead,is_reference
1.0,FA23,FA23,Benzoxazine derivative,COc1cc(/C=C/C(=O)O)cc2c1OCN(c1ccccc1)C2,C18H17NO4,311.34,3.15,1,4,59.0,4,2,0.167,87.8,23,0.879,2.32,0.853,0,True,True,0,1,0.117,True,0.889,False,False
2.0,FA21,FA21,Benzoxazine derivative,CCN1COc2c(cc(/C=C/C(=O)O)cc2OC)C1,C14H17NO4,263.29,1.96,1,4,59.0,4,1,0.357,71.2,19,0.841,2.57,0.826,0,True,True,0,1,0.091,True,0.86,False,False
3.0,FA22,FA22,Benzoxazine derivative,CCCN1COc2c(cc(/C=C/C(=O)O)cc2OC)C1,C15H19NO4,277.32,2.35,1,4,59.0,5,1,0.4,75.9,20,0.837,2.51,0.832,0,True,True,0,1,0.089,True,0.86,False,False
4.0,FA20,FA20,Benzoxazine derivative,COc1cc(/C=C/C(=O)O)cc2c1OCN(C)C2,C13H15NO4,249.27,1.57,1,4,59.0,3,1,0.308,66.6,18,0.824,2.64,0.818,0,True,True,0,1,0.11,True,0.849,False,False
5.0,FA1,FA1,Hydrocinnamic acid derivative,COc1cc(CCC(=O)O)ccc1O,C10H12O4,196.2,1.42,2,3,66.8,4,1,0.3,50.6,14,0.764,1.67,0.926,0,True,True,0,0,0.111,True,0.848,False,False
6.0,FA3,FA3,Cinnamic acid derivative,COc1cc(/C=C/C(=O)O)ccc1O,C10H10O4,194.19,1.5,2,3,66.8,3,1,0.1,51.3,14,0.715,1.87,0.903,0,True,True,0,1,0.111,True,0.814,False,False
7.0,FA6,FA6,Cinnamic acid derivative,CCCOC(=O)/C=C/c1ccc(O)c(OC)c1,C13H16O4,236.27,2.37,1,4,55.8,5,1,0.308,64.9,17,0.63,1.97,0.892,0,True,True,0,1,0.1,True,0.764,False,False
8.0,FA5,FA5,Cinnamic acid derivative,CCOC(=O)/C=C/c1ccc(O)c(OC)c1,C12H14O4,222.24,1.98,1,4,55.8,4,1,0.25,60.3,16,0.625,1.89,0.901,0,True,True,0,1,0.119,True,0.764,False,False
9.0,FA4,FA4,Cinnamic acid derivative,COC(=O)/C=C/c1ccc(O)c(OC)c1,C11H12O4,208.21,1.59,1,4,55.8,3,1,0.182,55.7,15,0.605,1.91,0.899,0,True,True,0,1,0.109,True,0.752,False,False
10.0,FA9,FA9,Cinnamic acid derivative,COC(=O)/C=C/c1ccc(OC)c(OC)c1,C12H14O4,222.24,1.89,0,4,44.8,4,1,0.25,60.6,16,0.576,1.74,0.918,0,True,True,0,1,0.095,True,0.742,False,False
